颜色检测时间线报告
==================================================
检测坐标: (1470, 410)
总记录数: 455
生成时间: 2025-06-24 16:23:07

时间		颜色			状态	描述
--------------------------------------------------------------------------------
16:12:35.083	(92, 82, 92, 255)		淡色系	攻击6中
16:12:35.410	(92, 82, 92, 255)		淡色系	攻击6中
16:12:35.729	(92, 82, 92, 255)		淡色系	攻击6中
16:12:36.534	(92, 82, 92, 255)		淡色系	攻击7中
16:12:36.863	(92, 82, 92, 255)		淡色系	攻击7中
16:12:37.180	(92, 82, 92, 255)		淡色系	攻击7中
16:12:38.202	(92, 82, 92, 255)		淡色系	攻击8中
16:12:38.535	(92, 82, 92, 255)		淡色系	攻击8中
16:12:38.866	(92, 82, 92, 255)		淡色系	攻击8中
16:12:39.874	(92, 82, 92, 255)		淡色系	攻击9中
16:12:40.202	(92, 82, 92, 255)		淡色系	攻击9中
16:12:40.532	(92, 82, 92, 255)		淡色系	攻击9中
16:12:41.378	(92, 82, 92, 255)		淡色系	攻击10中
16:12:41.696	(92, 82, 92, 255)		淡色系	攻击10中
16:12:42.023	(92, 82, 92, 255)		淡色系	攻击10中
16:12:42.836	(215, 200, 184, 255)		淡色系	攻击11中
16:12:43.163	(215, 200, 184, 255)		淡色系	攻击11中
16:12:43.497	(215, 200, 184, 255)		淡色系	攻击11中
16:12:44.558	(38, 100, 177, 255)		灰色系	攻击12中
16:13:14.172	(92, 82, 92, 255)		淡色系	攻击1中
16:13:14.498	(92, 82, 92, 255)		淡色系	攻击1中
16:13:14.818	(92, 82, 92, 255)		淡色系	攻击1中
16:13:15.798	(92, 82, 92, 255)		淡色系	攻击2中
16:13:16.115	(92, 82, 92, 255)		淡色系	攻击2中
16:13:16.446	(92, 82, 92, 255)		淡色系	攻击2中
16:13:17.309	(92, 82, 92, 255)		淡色系	攻击3中
16:13:17.636	(92, 82, 92, 255)		淡色系	攻击3中
16:13:17.979	(92, 82, 92, 255)		淡色系	攻击3中
16:13:18.850	(92, 82, 92, 255)		淡色系	攻击4中
16:13:19.167	(92, 82, 92, 255)		淡色系	攻击4中
16:13:19.489	(92, 82, 92, 255)		淡色系	攻击4中
